"","anon_id","count_will_construction","count_goingTo_construction","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age"
"112","aq5",0,0,"Female",1961,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","French","less than 1 year","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud","","","no","","379;380;381;382;383;442;444","more than 5 years","more than 5 years",47
"113","aq7",3,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"114","aq9",4,0,"Male",1983,"Arabic","Arabic","","","","","","","","","","","","","614;615;649;650;651;672;673;676;684;685","1-2 years","less than 1 year",26
"115","ar0",15,0,"Female",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","714;715;718;740;741;782;783;785;786;799;855;857;881;882;889","more than 5 years","less than 1 year",23
"116","ar2",6,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"117","ar5",2,0,"Female",1980,"Chinese","Chinese","","","","","","","","","","","","","273;284;295;317","more than 5 years","none",28
"118","ar8",14,1,"Female",1985,"Chinese","Chinese;German","German","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Teacher corrected my mistakes","","","no","","","","no","","561;570;572;573;574;600;618;637;639;640","3-5 years","less than 1 year",24
"119","ar9",29,0,"Male",1980,"Chinese","Chinese;Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Wrote paragrphs/essays","","","no","","","","no","","528;529;530;531;532;590;591;592;593;594","more than 5 years","none",28
"120","as0",12,1,"Female",1984,"Korean","Korean","Japanese","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Japanese;Teacher corrected my mistakes;Wrote paragrphs/essays","Chinese","less than 1 year","no","Studied by myself","","","no","","411;412;413;420;424;481;482;483;500;504","more than 5 years","less than 1 year",24
"121","as1",2,1,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"122","as2",2,0,"Male",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"123","as4",45,6,"Male",1981,"Korean","Korean","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs)","","","no","","","","no","","158;169;180;191;202;215;226;237;248;259","3-5 years","none",25
"124","as5",5,0,"Male",1978,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays","","","no","","","","no","","369;370;371;372;373","more than 5 years","none",29
"125","as7",8,7,"Female",1987,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes","German","3-5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud","","","no","","425;426;429;447;448","more than 5 years","none",21
"126","as8",11,0,"Female",NA,"Zulu","","","","","","","","","","","","","","","","",NA
"127","at1",7,1,"Female",1981,"Arabic","Arabic;English","Arabic","more than 5 years","no","I lived in a country where they spoke Arabic","English","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes","","","no","","738;739;740;741;742;798;801","more than 5 years","less than 1 year",29
"128","at2",9,0,"Female",1976,"Chinese","Chinese","French","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud","Japanese","1-2 years","no","Studied by myself","","","no","","732;733;734;735;736;801;807;808;809;810;881","more than 5 years","less than 1 year",33
"129","at3",11,0,"Female",1982,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","53;64;75;86;104;116;126;152","more than 5 years","none",25
"130","at4",16,6,"Female",1979,"Japanese","Japanese","German","1-2 years","yes","Studied grammar;Studied vocabulary","","","no","","","","no","","523;524;525;526;527;590;591;592;593;594","more than 5 years","1-2 years",29
"131","at6",0,0,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"132","at7",4,0,"Male",NA,"Turkish","","","","","","","","","","","","","","","","",NA
"133","at8",0,0,"Female",1984,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);other","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary;Studied pronunciation","","","no","","31;32;33;34;35;46;59;68;79;92;106;118;129;153","more than 5 years","none",21
"134","at9",0,2,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"135","au2",1,0,"Female",1987,"Korean","Korean","Japanese","less than 1 year","yes","Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud","","","no","","","","no","","273;284;299;317","more than 5 years","less than 1 year",20
"136","au3",1,0,"Female",1974,"Chinese","Chinese","","","","","","","","","","","","","555;556;557;559;601;615","3-5 years","3-5 years",35
"137","au5",22,0,"Female",1989,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher corrected my mistakes;other","Chinese","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","621;632;633;643;644;690;691;692;693;694;754;756","more than 5 years","less than 1 year",21
"138","au6",43,1,"Male",1983,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes","","","no","","","","no","","485;486;487;488;489;539;543","more than 5 years","more than 5 years",25
"139","au7",4,0,"Male",1984,"Arabic","Arabic","","3-5 years","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke saudi signe language","","","no","","","","no","","770;771;778;779;781;860;861;862;863;864;952;953;954;955;956","1-2 years","1-2 years",27
"140","au8",2,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"141","au9",9,1,"Female",1978,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","German","1-2 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;other","","","no","","416;419","more than 5 years","less than 1 year",30
"142","av0",0,0,"Male",NA,"Portuguese","","","","","","","","","","","","","","","","",NA
"143","av4",5,0,"Unknown",NA,"French","","","","","","","","","","","","","","","","",NA
"144","av7",0,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"145","av8",12,0,"Male",1981,"Chinese","Taiwanese;Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","101;113;124;149","more than 5 years","none",25
"146","av9",0,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"147","aw2",33,0,"Male",1983,"Thai","Thai;English;Chinese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays","Chinese","1-2 years","no","I learned from my friend who is a native speaker;other","","","no","","165;176;187;198;209","more than 5 years","less than 1 year",23
"148","aw3",0,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"149","aw4",13,0,"Male",1989,"Arabic","Arabic","English","less than 1 year","no","other","Spanish","less than 1 year","no","Studied by myself;other","","","no","","662;663;664;665;666;724;725;726;727;728;797;801;866;889;890;891;892;944;952;953;955;956","less than 1 year","less than 1 year",21
"150","aw5",1,0,"Female",NA,"Spanish","","","","","","","","","","","","","","","","",NA
"151","aw6",7,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"152","aw9",16,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"153","ax0",3,3,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"154","ax2",3,0,"Male",1982,"Thai","Thai;English","Korean","less than 1 year","no","I learned from my friend who is a native speaker","Chinese","less than 1 year","no","I learned from my friend who is a native speaker","","","no","","858;859;868;869;870;928;947;949;950;956","more than 5 years","more than 5 years",29
"155","ax3",13,0,"Male",1986,"Arabic","Arabic","English","less than 1 year","yes","Worked in pairs/groups;Practiced speaking in class;Teacher spoke to me in English","","","no","","","","no","","719;723;734;735;736;782;796;798;799;800;876;877;878;879;880","less than 1 year","less than 1 year",24
"156","ax4",7,0,"Male",1978,"Chinese","Chinese;Taiwanese","English","3-5 years","yes","Studied grammar;Studied vocabulary","","","no","","","","no","","5;11;17;23;29;94;105;117;129","3-5 years","less than 1 year",28
"157","ax5",4,0,"Male",1982,"Arabic","Arabic;English","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","44;54;66;76;87;103;115;127;151;164;175;186;208","less than 1 year","less than 1 year",24
"158","ax6",2,0,"Male",NA,"Spanish","","","","","","","","","","","","","","","","",NA
"159","ax7",1,0,"Male",1982,"Chinese","Chinese;Taiwanese","Japanese","less than 1 year","no","other","","","no","","","","no","","333;334;335;336;347","3-5 years","none",25
"160","ax9",23,4,"Female",1980,"Russian","Russian;English","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","415;416;419;427;428;480;481;483;484;502;526;532;538;539;540;590;591;592;593;594;599;646;647;692;693;694;695;701;754;755","less than 1 year","less than 1 year",28
"161","ay0",4,0,"Female",1967,"Japanese","Japanese","English","more than 5 years","no","Studied by myself","","","no","","","","no","","339;340;341;348;357;397","more than 5 years","less than 1 year",40
"162","ay1",41,22,"Male",1985,"Korean","Korean","English","3-5 years","yes","Studied vocabulary;Practiced reading aloud","German","1-2 years","no","other","","","no","","328;329;330;331;332;379;380;381;382;383;445;446;449;453;454","3-5 years","3-5 years",22
"163","ay2",3,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"164","ay3",104,6,"Female",1978,"Japanese","Japanese","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","415;416;450;451;452;462;463;485;486;489;520;521;522;533;534;594;632;633;634;635;636","less than 1 year","less than 1 year",30
"165","ay4",7,5,"Female",1974,"English","Korean","Korean","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Korean;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","509;515;516;517;560;571;574;601;622;642;645","1-2 years","3-5 years",35
"166","ay7",22,4,"Female",1982,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","French","less than 1 year","no","other","","","no","","460;461;463;464;477;518;519;522;535;536","more than 5 years","more than 5 years",26
"167","ay8",4,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"168","az0",2,0,"Male",1979,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","367;371;374;375;378","more than 5 years","1-2 years",29
